"34";"34";"Contribuição Assistecial";"Vb";"Vb";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"3";"0.0";"2019-12-16";"0.0";"0.0"
"35";"35";"Contribuição Sindical";"Vb";"Vb";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"3";"0.0";"2019-12-16";"0.0";"0.0"
"36";"36";"Aquisição de Mobiliário";"vb";"vb";"1";"1.0000";"1.0000";"0.0000";"0.000";"0.00";"4";"0.0";"2019-12-16";"0.0";"0.0"
"37";"101";"Boné árabe";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"38";"102";"Capacete amarelo";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"39";"103";"Capacete marrom";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"40";"104";"Capacete vermelho";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"41";"105";"Capacete azul";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"42";"106";"Capacete verde";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"43";"107";"Capacete branco";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"44";"108";"Protetor auricular tipo plug";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"45";"109";"Protetor auricular tipo abafador";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"46";"110";"Óculos de proteção com lente escura";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"47";"111";"Óculos de proteção com lente transparente";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"48";"112";"Máscara de soldador";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"49";"113";"Escudo para solda";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"50";"114";"Máscara respiratória NR-5 - azul";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"51";"115";"Máscara respiratória com 1 filtro";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"52";"116";"Máscara respiratória com 2 filtros";"un";"un";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"53";"117";"Luva latex tam. M";"par";"par";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"54";"118";"Luva latex tam. G";"par";"par";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"55";"119";"Luva de raspa";"par";"par";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"56";"120";"Luva nitrilom";"par";"par";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"57";"121";"Luva de vaqueta";"par";"par";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"58";"122";"Luva petroleira";"par";"par";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"59";"123";"Luva de malha";"par";"par";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
"60";"124";"Luva yeling";"par";"par";"1";"0.0000";"0.0000";"0.0000";"0.000";"0.00";"9";"0.0";"2019-12-16";"0.0";"0.0"
