"104","Hidrolândia","75340000","75344999","45.00","GO"
"105","Hidrolina","76375000","76379999","290.00","GO"
"106","Iaciara","73920000","73929999","554.00","GO"
"107","Inaciolândia","75550000","75554999","296.00","GO"
"108","Indiara","75955000","75959999","110.00","GO"
"109","Inhumas","75400000","75409999","68.00","GO"
"110","Ipameri","75780000","75789999","220.00","GO"
"111","Ipiranga de Goiás","76304000","76304999","241.00","GO"
"112","Iporá","76200000","76204999","299.00","GO"
"113","Israelândia","76205000","76209999","241.00","GO"
"114","Itaberaí","76630000","76639999","122.00","GO"
"115","Itaguari","76650000","76659999","116.00","GO"
"116","Itaguaru","76660000","76669999","144.00","GO"
"117","Itajá","75815000","75818999","422.00","GO"
"118","Itapaci","76360000","76364999","254.00","GO"
"119","Itapirapuã","76290000","76299999","208.00","GO"
"120","Itapuranga","76680000","76689999","184.00","GO"
"121","Itarumã","75810000","75812999","380.00","GO"
"122","Itauçu","75450000","75454999","92.00","GO"
"123","Itumbiara","75500001","75549999","211.00","GO"
"124","Ivolândia","76130000","76134999","204.00","GO"
"125","Jandaia","75950000","75954999","129.00","GO"
"126","Jaraguá","76330000","76334999","151.00","GO"
"127","Jataí","75800001","75809999","331.00","GO"
"128","Jaupaci","76210000","76219999","253.00","GO"
"129","Jesúpolis","75495000","75499999","140.00","GO"
"130","Joviânia","75610000","75614999","185.00","GO"
"131","Jussara","76270000","76279999","246.00","GO"
"132","Lagoa Santa","75819000","75819999","440.00","GO"
"133","Leopoldo de Bulhões","75190000","75194999","89.00","GO"
"134","Luziânia","72800001","72859999","223.00","GO"
"135","Mairipotaba","75630000","75634999","102.00","GO"
"136","Mambaí","73970000","73974999","537.00","GO"
"137","Mara Rosa","76490000","76492999","378.00","GO"
"138","Marzagão","75670000","75674999","204.00","GO"
"139","Matrinchã","76730000","76739999","274.00","GO"
"140","Maurilândia","75930000","75934999","234.00","GO"
"141","Mimoso de Goiás","73730000","73739999","270.00","GO"
"142","Minaçu","76450000","76459999","535.00","GO"
"143","Mineiros","75830001","75839999","435.00","GO"
"144","Moiporá","76135000","76139999","194.00","GO"
"145","Monte Alegre de Goiás","73830000","73839999","597.00","GO"
"146","Montes Claros de Goiás","76255000","76259999","312.00","GO"
"147","Montividiu","75915000","75919999","288.00","GO"
